"","x"
"1",3730.7
"2",3728.2
"3",3754.9
"4",3770
"5",3775.8
"6",3804.5
"7",3821.7
"8",3848.3
"9",3870.1
"10",3870.6
"11",3871.9
"12",3861.3
"13",3841
"14",3866.7
"15",3913
"16",3907.1
"17",3933.2
"18",3940.5
"19",3966
"20",3969.1
"21",3984.7
"22",3976
"23",4003.6
"24",4020.5
"25",4084.7
"26",4099.5
"27",4117
"28",4131.5
"29",4158.4
"30",4177.1
"31",4204.8
"32",4220.9
"33",4255.3
"34",4284.7
"35",4300.5
"36",4336.4
"37",4340.7
"38",4324.76145466542
"39",4352.5
"40",4393.4
"41",4422.4
"42",4440
"43",4468.9
"44",4481.1
"45",4511.5
"46",4532.8
"47",4554.1
"48",4571.1
"49",4585.1
"50",4632.6
"51",4646
"52",4671.1
"53",4669.5
"54",4708.9
"55",4720.6
"56",4762.6
"57",4775
"58",4812.9
"59",4825.6
"60",4841.6
"61",4851.2
"62",4850.8
"63",4885.4
"64",4890.2
"65",4933.1
"66",4977.5
"67",4970.2
"68",5005.3
"69",5020.5
"70",5013.9
"71",5055.6
"72",5097.5
"73",5085.7
"74",5132.8
"75",5173.3
"76",5208
"77",5223.8
"78",5229.8
"79",5251.9
"80",5275
"81",5296.6
"82",5328.5
"83",5351.2
"84",5378.6
"85",5370.58213465435
"86",5348.45835289621
"87",5454.2
"88",5459.3
"89",5460.2
"90",5494.2
"91",5548.8
"92",5587
"93",5601.7
"94",5637.7
"95",5661.1
"96",5692.1
"97",5689.9
"98",5723.8
"99",5750.3
"100",5739.51003156197
"101",5837.9
"102",5871.7
"103",5890
"104",5925
"105",5965.6
"106",5948.80488446539
"107",6015.4
"108",6070.5
"109",6073.9
"110",6099.2
"111",6133
"112",6199.5
"113",6232.1
"114",6260.3
"115",6287.6
"116",6331.9
"117",6386.5
"118",6411.4
"119",6448.7
"120",6541
"121",6542.9
"122",6625.3
"123",6686.5
"124",6679.1
"125",6709.7
"126",6746.9
"127",6768.5
"128",6802.8
"129",6888.6
"130",6893.8
"131",6909.8
"132",6952.2
"133",6987.4
"134",7001.8
"135",6996.7
"136",7004.2
"137",7052.8
"138",7069.7
"139",7082.3
"140",7121.7
"141",7007
"142",7212.9
"143",7182.3
"144",7166.7
"145",7184.6
"146",7225.2
"147",7243.4
"148",7312.5
"149",7288.9
"150",7322.5
"151",7387.3
"152",7412.6
"153",7391.5
"154",7435.2
"155",7463.8
"156",7519.9
"157",7541.3
"158",7548.6
"159",7611.5
"160",7634.5
"161",7650.3
"162",7699.6
"163",7757
"164",7852.1
"165",7853.7
"166",7867.4
"167",7922.6
"168",7950.4
"169",8007.1
"170",8040.4
"171",8098.8
"172",8107.2
"173",8176.5
"174",8157.6
"175",8236.9
"176",8271.6
"177",8341.5
"178",8397.1
"179",8444.5
"180",8504.4
"181",8497.7
"182",8559.1
"183",8598.4
"184",8678.4
"185",8671.6
"186",8753.4
"187",8853.8
"188",8850.1
"189",8900.4
"190",8938.5
"191",8946.2
"192",8981.1
"193",9071.6
"194",9096
"195",9132.9
"196",9191.6
"197",9231.8
"198",9259.6
"199",9343.8
"200",9342.2
"201",9375.4
"202",9393.6
"203",9400.2
"204",9488.3
"205",9538.7
"206",9566
"207",9611.7
"208",9643.6
"209",9685.8
"210",9706.8
"211",9751.1
"212",9798.9
"213",9845.1
"214",9882.7
"215",9955.9
"216",9972.8
"217",9996.4
"218",9981.7
"219",10035.3
"220",10039.6247464741
"221",10032.9613937204
"222",10019.2595905367
"223",10015.9740629416
"224",10035.4854502297
"225",10038.8127341628
"226",10034.1
"227",9885.2
"228",9873.00358556294
"229",9847.2
"230",9894.25435773896
"231",9905.35875169535
"232",9894.88834512244
"233",9878.1496938508
"234",9852.4
"235",9886.3
"236",9876.0005813656
"237",9927.8
"238",9976.7
"239",9991.09501722493
"240",10052.6
"241",10056.1
"242",10093.4
"243",10156
"244",10182.3
"245",10210.8
"246",10231.3
"247",10268.1
"248",10307.1
"249",10327.1
"250",10386.4
"251",10433.6
"252",10471
"253",10514.3
"254",10540.6
"255",10619.7
"256",10652.1
"257",10672.2
"258",10694.8
"259",10731.6
"260",10750.3
"261",10783.2
"262",10802.9
"263",10806.8
"264",10817.8
"265",10896.8
"266",10987.2
"267",10993.9
"268",11018.5
"269",11006.8
"270",10989.8
"271",11016.8
"272",11056
"273",11105.3
"274",11137.4
"275",11178.4
"276",11181.2
"277",11245.8
"278",11282.1
"279",11268.9
"280",11259.3
"281",11295.1
"282",11318.5
"283",11346.8
"284",11376.9
"285",11413.9
"286",11465.2
"287",11531.3
"288",11558.6
"289",11543.7
"290",11615.4
"291",11695.2
"292",11737.4
"293",11778.6
"294",11838
"295",11879.2
"296",11958.8
"297",11964.9
"298",12035.5
"299",12058.4
"300",12067.6
"301",12036.5
"302",12083.1
"303",12132.2
"304",12170.3
"305",12233.6
"306",12270.3
"307",12327.5
"308",12359.3
"309",12356.4
"310",12362.3
"311",12397.5
"312",12432.8
"313",12452.1
"314",12526.3
"315",12506.8
"316",12586
"317",12624.4
"318",12701.7
"319",12720.6
"320",12749.8
"321",12806.8
"322",12828.1
"323",12853.6
"324",12962.9
"325",13015.1
"326",13034.7
"327",13089.6
"328",13127.7
"329",13128.7
"330",13176.8
"331",13198.3
"332",13241
"333",13365.1
"334",13394.8
"335",13495.7
"336",13601.8
"337",13620.1
"338",13657.2
"339",13725
"340",13809.3
"341",13872.1
"342",13912.9
"343",13962.6
"344",14014.5
"345",14030.7
"346",14119.6
"347",14187.8
"348",14050.6
"349",14104.4
"350",14117.9
"351",14244.4
"352",14329.3
"353",14390.6473387366
"354",14447.7551600053
"355",14502.7081471716
"356",14556.8496795796
"357",14599.6269492523
"358",14656.4042616162
"359",14707.943796792
"360",14778.5695080582
"361",14810.7219582335
"362",14863.0327773804
"363",14926.9800754912
"364",14973.9800521112
"365",15035.0674601297
"366",15091.2572175693
"367",15146.9576450413
"368",15202.4722604925
"369",15244.0776789018
"370",15302.0355948065
"371",15352.8936576393
"372",15423.4035249682
"373",15456.1890102598
"374",15508.1303335933
"375",15572.0738156086
"376",15618.7
"377",15624.4
"378",15802
"379",15814.9
"380",15991.1
"381",16088.9
"382",16160.3419263373
"383",16223.446960024
"384",16306.3
